County,City,Date,Time (Local),Event Name,Location,Group,"Type (protest, town hall, ect.)",Notes/Info
Vanderburgh,Evansville,5/6/25,4:45-6 PM,Unmuting the 8th District Messmer's tele-town hall,McCullough Library - 5115 washington ave,Indivisible Evansville,Group call in to town hall,https://facebook.com/events/s/unmuting-the-8th-district-mess/662713639805616/
Vanderburgh,Evansville,5/14/25,4-5:30 PM,Civil Rights Movement Lecture (for YA/teens) - Dr James Macleod,Central Library - browning room,EVPL,Lecture,https://evansville.libnet.info/event/12816185
Vanderburgh,Evansville,5/17/25,10:00 AM,Vanderburgh County Dems Meeting,960 Koehler Dr,Vanderburgh County Dems,Meeting,
Vanderburgh,Evansville,5/20/25,6-7:30 PM,Hoosier voices town hall w/ Rep Burton,The dream center,,Protest,
Vanderburgh,Evansville,5/28/25,11 AM - 1 PM,Hoosier voices town hall w/ Indiana black legislative caucus,"EVPL - Central library, browning room",,Protest,
Vanderburgh,Evansville,6/7/25,12:00 PM,River City Pride Parade,220 NW 4th St,Vanderburgh County Democratic Party,Parade,https://facebook.com/events/s/river-city-pride-parade/1640382619938854/
Vanderburgh,Evansville,6/7/25,12-7 PM,Evansville Juneteenth Celebration,Bayard Park - 934 E Gum St,EVV juneteenth community block party,Social,https://facebook.com/events/s/6th-annual-evv-juneteenth-cele/1894068374684904/
Vermillion,Cayuga,5/8/25,6-8 PM,Pizza & Politics,Cayuga Community Center - 103 S Logan St,Vermillion County Democratic Party,Meeting,https://www.facebook.com/share/p/167JhubLTQ/?mibextid=wwXIfr
Vigo,Terre Haute,Mondays,12-12:30,Sound the alarm terre haure,Vigo County Annex,Indivisible Wabash Valley,,https://indivisiblewabashvalley.org/sound-the-alarm-for-democracy/
Vigo,Terre Haute,5/3/25,10 AM - 12 PM,SMASH May day rally,33 S 3rd St,"Indivisible Wabash Valley, 50501",Rally,
Vigo,Terre Haute,5/3/25,2-4 PM,Slices with Sakbun,Wise Pies - 9 S 6th St,,Social,
Vigo,Terre Haute,5/6/25,6:00 PM,Vigo Dems Candidate Training - must rsvp,Laborers local 204,Vigo County Dems,Meeting ,Rsvp by 5/2 to vigodemocrats@gmail.com
Vigo,Terre Haute,5/9/25,6-7:30,People's town hall w/ Karen Tallian (IN Dem Party Chair),Vigo County Public Library,IN Democratic Party,Meeting,
Vigo,Terre Haute,5/13/25,3-4 PM,Mingle with the Mayor ,Grand Traverse Pie Company - 375 S 11th St,,Meeting,
Vigo,Terre Haute,5/17/25,10 AM - 12 PM,"Get Groovy. But like, low key real chill sign waving protest",Vigo county courthouse,Indivisible Wabash Valley,Protest,
Vigo,Terre Haute,5/17/25,4-8 PM,Earth Day Block Party,ReThink 1544 S 13th St,Indivisible Wabash Valley,Social,
Vigo,Terre Haute,6/10/25,3-4 PM,Mingle with the Mayor ,Grand Traverse Pie Company - 375 S 11th St,,Meeting,
Vigo,Terre Haute,7/8/25,3-4 PM,Mingle with the Mayor ,Grand Traverse Pie Company - 375 S 11th St,,Meeting,
Vigo,Terre Haute,8/23/25,12-2 PM,Hoosier voices town hall w/ Indiana black legislative caucus,City Hall court room,,Town Hall,
Vigo,Terre Haute,9/13/25,3-8 PM,Terre Haute Pride Fest,Fairbanks Park,,,
Warrick,Boonville,5/7/25,6-8 PM,Warrick County Democratic Party Social,Quail Crossing Clubhouse,Warrick County Democrats,Meeting,https://facebook.com/events/s/wednesday-social/637519605829854/
Warrick,Boonville,6/7/25,12-1 PM,Defend democracy sign waving protest,Boonville courthouse,,Protest/sign waving,
